latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.748,109.805,314.6,1.3,1.1,2017-05-08,0310,T,50,6.0NRT,296.7,6.9,D
17.767,121.476,318.6,3.3,1.7,2017-05-08,0310,T,44,6.0NRT,297.6,47.6,D
15.031,120.099,321.4,3,1.6,2017-05-08,0310,T,33,6.0NRT,299.3,40,D
16.287,107.629,316.6,1.5,1.2,2017-05-08,0310,T,65,6.0NRT,294.4,14,D
16.285,107.623,314.4,1.5,1.2,2017-05-08,0310,T,61,6.0NRT,294.5,11,D
15.531,108.162,317.2,1.4,1.2,2017-05-08,0310,T,65,6.0NRT,294.5,11.8,D
15.373,108.282,318.9,1.3,1.2,2017-05-08,0310,T,58,6.0NRT,297.1,12,D
12.215,109.197,319.7,1.1,1,2017-05-08,0310,T,0,6.0NRT,296.9,10.5,D
11.142,106.333,319,1.6,1.2,2017-05-08,0310,T,68,6.0NRT,296.2,15.3,D
2.207,111.547,314.8,1.2,1.1,2017-05-08,0315,T,45,6.0NRT,297.2,10.1,D
2.205,111.558,315.3,1.2,1.1,2017-05-08,0315,T,24,6.0NRT,297.3,10,D
1.176,108.979,316,1,1,2017-05-08,0315,T,37,6.0NRT,295.1,8.7,D
-6.136,106.287,316,1,1,2017-05-08,0315,T,65,6.0NRT,296.9,7.5,D
-6.988,107.556,315.2,1,1,2017-05-08,0315,T,42,6.0NRT,296.5,6.3,D
28.451,117.885,316.1,1.2,1.1,2017-05-08,0305,T,38,6.0NRT,291.9,10,D
24.616,117.791,317.9,1.3,1.1,2017-05-08,0305,T,39,6.0NRT,296.4,11.8,D
23.792,120.58,313.4,2.1,1.4,2017-05-08,0305,T,22,6.0NRT,291.1,15.9,D
52.965,122.535,315.3,1,1,2017-05-08,0300,T,61,6.0NRT,298.8,7.4,D
52.253,126.482,317.6,1.1,1.1,2017-05-08,0300,T,75,6.0NRT,293.6,13.5,D
52.25,126.498,316.4,1.1,1.1,2017-05-08,0300,T,74,6.0NRT,294.1,12.5,D
52.034,123.592,312.3,1,1,2017-05-08,0300,T,39,6.0NRT,298,5.8,D
50.519,126.87,307.3,1.2,1.1,2017-05-08,0300,T,60,6.0NRT,291.2,7.1,D
50.79,124.292,308.1,1,1,2017-05-08,0300,T,59,6.0NRT,294.3,4.8,D
50.584,123.719,309.8,1,1,2017-05-08,0300,T,41,6.0NRT,295.6,4.1,D
50.413,124.19,306.1,1,1,2017-05-08,0300,T,48,6.0NRT,290.9,6.1,D
51.376,114.372,353.7,1.7,1.3,2017-05-08,0300,T,97,6.0NRT,306.3,137.6,D
51.38,114.365,339.1,1.7,1.3,2017-05-08,0300,T,89,6.0NRT,305.3,73,D
51.378,114.39,326.7,1.7,1.3,2017-05-08,0300,T,79,6.0NRT,303.4,35.2,D
51.368,114.363,320.6,1.7,1.3,2017-05-08,0300,T,71,6.0NRT,305.2,20.8,D
51.366,114.388,316.2,1.7,1.3,2017-05-08,0300,T,57,6.0NRT,303.2,12.6,D
49.743,124.593,310.2,1.1,1,2017-05-08,0300,T,29,6.0NRT,293.9,5,D
47.834,131.451,308.5,2.4,1.5,2017-05-08,0300,T,54,6.0NRT,290.6,23,D
47.822,131.445,314.9,2.4,1.5,2017-05-08,0300,T,75,6.0NRT,291.1,39.9,D
47.826,131.442,325.8,2.4,1.5,2017-05-08,0300,T,84,6.0NRT,291.5,77.6,D
50.176,118.003,326.3,1.2,1.1,2017-05-08,0300,T,69,6.0NRT,305.6,15.3,D
47.351,126.405,312.4,1.4,1.2,2017-05-08,0300,T,52,6.0NRT,297.9,7.4,D
47.927,122.767,323.7,1,1,2017-05-08,0300,T,77,6.0NRT,301.9,13.3,D
47.362,124.877,312.3,1.2,1.1,2017-05-08,0300,T,48,6.0NRT,295.9,6.8,D
47.339,124.023,315.8,1.1,1.1,2017-05-08,0300,T,38,6.0NRT,299.5,5.6,D
47.277,123.673,343,1.1,1,2017-05-08,0300,T,79,6.0NRT,303.4,43.7,D
46.4,125.321,314.8,1.3,1.1,2017-05-08,0300,T,29,6.0NRT,295.5,9.5,D
47.873,109.128,320.4,3,1.6,2017-05-08,0300,T,64,6.0NRT,300.3,48.5,D
47.872,109.168,321.2,3,1.6,2017-05-08,0300,T,66,6.0NRT,299.7,52.3,D
45.829,122.646,324.2,1.1,1,2017-05-08,0300,T,69,6.0NRT,310,10,D
43.774,131.568,318.3,3.2,1.7,2017-05-08,0300,T,78,6.0NRT,287.4,76.4,D
43.777,131.564,317.5,3.2,1.7,2017-05-08,0300,T,57,6.0NRT,286.6,67.2,D
45.924,119.772,322.1,1,1,2017-05-08,0300,T,62,6.0NRT,308.6,8.3,D
45.922,119.785,327.9,1,1,2017-05-08,0300,T,74,6.0NRT,308.4,14.5,D
45.948,119.14,320.1,1,1,2017-05-08,0300,T,54,6.0NRT,306.8,7.5,D
45.946,119.153,320.9,1,1,2017-05-08,0300,T,58,6.0NRT,304.8,8.3,D
45.013,121.659,330.4,1,1,2017-05-08,0300,T,76,6.0NRT,307.8,16.1,D
45.004,121.656,329.2,1,1,2017-05-08,0300,T,74,6.0NRT,306.5,14.4,D
44.18,125.569,320,1.5,1.2,2017-05-08,0300,T,63,6.0NRT,304.5,11.2,D
43.674,125.028,321.5,1.4,1.2,2017-05-08,0300,T,71,6.0NRT,304.5,12.7,D
-24.201,151.604,326,1,1,2017-05-08,0005,T,83,6.0NRT,297.1,20.2,D
